Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Max_socket_power,Max_power
48.442398,9.659075,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.449353,9.672201,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,22,22.0
48.5105,9.609,22.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.5785342,9.8748399,98.0,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,0,0,0,0,50,50.0
48.179959,10.076977,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.5010993,10.1221682,11.0,AC Steckdose Typ 2,11,0,0,0,0,0,0,11,11.0
48.505686,10.138781,11.0,AC Kupplung Typ 2,11,0,0,0,0,0,0,11,11.0
48.500374,10.117366,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.456817,10.029649,300.0,DC Kupplung Combo,300,DC Kupplung Combo,300,0,0,0,0,300,300.0
48.456817,10.029649,300.0,DC Kupplung Combo,300,DC Kupplung Combo,300,0,0,0,0,300,300.0
48.456817,10.029649,173.0,"DC Kupplung Combo, DC CHAdeMO",150,AC Steckdose Typ 2,22,0,0,0,0,150,150.0
48.456817,10.029649,173.0,"DC Kupplung Combo, DC CHAdeMO",150,AC Steckdose Typ 2,22,0,0,0,0,150,150.0
48.5000571,10.123939,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.49975,10.13395,150.0,DC Kupplung Combo,150,DC Kupplung Combo,150,0,0,0,0,150,150.0
48.49896572,10.12097776,44.0,AC Kupplung Typ 2,11,AC Kupplung Typ 2,11,AC Kupplung Typ 2,11,AC Kupplung Typ 2,11,11,11.0
48.538896,10.129616,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.50509,10.128139,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.500211,10.121083,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.493191,10.113215,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.497369,10.121542,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.48473,10.061164,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.474798,10.085579,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.48524,10.028291,44.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
48.493378,10.108723,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,0,0,0,0,22,22.0
48.416998,9.918955,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.409847,9.940684,22.0,"AC Steckdose Typ 2, AC Schuko",11,"AC Steckdose Typ 2, AC Schuko",11,0,0,0,0,11,11.0
48.4036614,9.7746765,22.0,AC Kupplung Typ 2,11,AC Kupplung Typ 2,11,0,0,0,0,11,11.0
48.432935,9.772928,11.0,AC Steckdose Typ 2,11,0,0,0,0,0,0,11,11.0
48.432935,9.772928,11.0,AC Steckdose Typ 2,11,0,0,0,0,0,0,11,11.0
48.4080307,9.790154,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.418242,9.748788,22.0,AC Steckdose Typ 2,22,0,0,0,0,0,0,22,22.0
