Latitude,Longitude,Max_power
49.85431,8.626177,22.0
49.023033,8.741806,22.0
49.025647,8.758897,22.0
49.021186,8.7499341,50.0
49.0479825,8.8493338,22.0
50.289815,8.976629,50.0
49.818709,8.646983,22.0
49.081998,9.461019,22.0
49.035897,9.314304,22.0
49.1843377,9.2252668,22.0
49.1802378,9.223276811,22.0
49.188556,9.2201,22.0
49.1919779,9.2226722,22.0
49.191958,9.222715,50.0
49.191318,9.225233,22.0
49.176492,9.231113,160.0
49.176522,9.231003,160.0
49.176568,9.230854,160.0
49.176612,9.230721,160.0
49.176656,9.230592,160.0
49.187546,9.227299,22.0
49.183989,9.221764,22.0
49.191586,9.225249,22.0
49.193841463651,9.220967888832,22.0
49.195555,9.224049,300.0
49.196122,9.223408,22.0
49.1880867316638,9.21860875546921,300.0
49.2332984,9.214898564,22.0
49.228177,9.210099,22.0
49.2304013,9.2113397,50.0
49.211175,9.236242,22.0
49.229115,9.19914,22.0
49.1353920593358,9.38337772750855,22.0
49.1353832848398,9.38339113855362,22.0
49.1361326212086,9.3815860118866,22.0
49.1361606991662,9.38165038490296,22.0
49.1361905319787,9.38178985977173,22.0
49.135954,9.376713,22.0
49.1500664,9.2985005,50.0
49.1492299,9.2866814,22.0
49.14161071,9.0585898,22.0
49.14158947,9.0586622,22.0
49.14206,9.05792,22.0
49.142057,9.056348,22.0
49.138646,9.057692,22.0
49.138571,9.05756,22.0
49.132432,9.013261,22.0
49.1107945,8.9903425,22.0
49.1580436,9.0669495,22.0
49.1375715,9.065202,50.0
49.238144,9.331072,22.0
49.245182,9.309525,22.0
49.2371205,9.3306769,22.0
49.236891,9.326547,22.0
49.237118,9.330635,22.0
49.234448,9.354628,22.0
49.236885,9.326542,22.0
49.234394,9.354583,22.0
49.245143,9.309522,22.0
49.238156,9.331092,22.0
49.234998,9.352034,22.0
49.46157,9.47534,22.0
49.086884,9.276155,11.0
49.089998,9.323341,22.0
49.089517,9.275304,22.0
49.0899886,9.3233424,22.0
49.089531,9.275331,22.0
49.086782,9.276251,22.0
49.086131,9.278024,22.0
49.229715,9.158383,22.0
49.226736,9.160591,22.0
49.229307,9.167214,22.0
49.1497256151978,9.12901185682311,11.0
49.150135377909,9.12888199902752,22.0
49.143424,9.124222,22.0
49.143886,9.112623,22.0
49.143898,9.120727,22.0
49.1434567869442,9.1242745771224,22.0
49.144984,9.121165,22.0
49.143907,9.120733,22.0
49.143895,9.112611,22.0
49.143417,9.12425,22.0
49.322356,9.359477,22.0
49.318967,9.36494,22.0
49.106901,9.208775,11.0
49.105244,9.20481,11.0
49.101649,9.213689,22.0
49.100726,9.19189,22.0
49.103032,9.2021359,22.0
49.103025,9.202138,22.0
49.101642,9.213678,22.0
49.1007,9.1919,22.0
49.1003804,9.2139335,22.0
49.105224,9.20481,22.0
49.100396,9.213948,22.0
49.106918,9.208782,22.0
49.108442,9.1282,22.0
49.075599,9.302704,22.0
49.079662,9.308665,22.0
49.080317,9.307677,22.0
49.075598,9.302703,22.0
49.075598,9.302705,22.0
49.079663,9.308664,22.0
49.080316,9.307676,22.0
49.080318,9.307678,22.0
49.076491,9.305431,22.0
49.076458,9.305455,22.0
49.076433,9.305478,22.0
49.076407,9.305365,22.0
49.076388,9.305262,22.0
49.076247,9.305268,22.0
49.079663,9.308666,22.0
49.079664,9.308667,22.0
49.167881394446,9.261239797641,22.0
49.11077,9.365584,11.0
49.110796,9.365651,11.0
49.095028,9.380474,11.0
49.095037,9.380471,22.0
49.09059,9.405588,22.0
49.17842,9.32099,22.0
49.1436252834229,9.308847625872,300.0
49.150055,9.311526,22.0
49.1428616392717,9.30896580636303,300.0
49.308252,9.4670461,22.0
49.3082432800458,9.46703834444256,22.0
49.17478,9.04705,22.0
49.24516,9.1638,150.0
49.239,9.168,50.0
49.23826175,9.166293835,160.0
49.209946,9.203903,44.0
49.211667,9.196111,22.0
49.323082,9.415751,50.0
49.324102,9.412272,50.0
49.323989,9.412135,150.0
49.3229097,9.4158214,150.0
49.082074,9.104045,22.0
49.0841375,9.0799773,11.0
49.078741,9.065538,22.0
49.078856798,9.065466828,11.0
49.0825623,9.0671554,50.0
49.08183,9.06147,150.0
49.075351,9.062637,150.0
49.091975,9.081404,22.0
49.076479,9.156592,22.0
49.075983,9.145086,22.0
49.076165,9.146384,22.0
49.0761745279975,9.14639144909568,22.0
49.076445,9.156604,22.0
49.072311,9.180047,22.0
49.043998,9.261927,50.0
49.04406,9.261997,50.0
49.045633,9.265882,50.0
49.045691,9.265929,50.0
49.045116,9.266087,150.0
49.0443708,9.2620105,150.0
49.055188,9.241813,75.0
49.054957,9.242678,75.0
49.05489,9.242668,75.0
49.045334,9.266223,350.0
49.044276,9.261639,350.0
49.057927,9.261101,50.0
49.05697,9.24663,22.0
49.05268,9.24245,22.0
49.06458,9.26534,22.0
49.056,9.24591,22.0
49.05796,9.27926,22.0
49.0565,9.25033,22.0
49.054014,9.287055,22.0
49.05535,9.25904,22.0
49.055484,9.254222,22.0
49.0498758,9.2538917,22.0
49.066648,9.269067,22.0
49.066668,9.269167,22.0
49.067193,9.000795,22.0
49.059092,8.926855,22.0
49.059373,8.926889,22.0
49.0736270075468,8.94018301575664,11.0
49.046534,9.189912,22.0
49.046543,9.189923,22.0
49.084702,9.195198,22.0
49.084685,9.19521,22.0
49.061537,8.975544,22.0
49.240051,9.107058,22.0
49.28515,9.159708,22.0
49.291971,9.271254,22.0
49.24644,9.11494,3.0
49.239845,9.100817,22.0
49.235038,9.092082,22.0
49.237557,9.086459,22.0
49.2358916,9.0965157,50.0
49.1052564,8.8934267,11.0
49.13714,8.90832,22.0
49.132435,8.905976,22.0
49.174305,8.94628,22.0
49.136819,8.915302,50.0
49.136556,8.928,22.0
49.328468,9.489061,22.0
49.342207,9.524573,22.0
49.382528,9.632175,22.0
49.204678,9.511729,11.0
49.1958482507636,9.50020752886058,22.0
49.2009152618043,9.52704080684827,22.0
49.189917,9.495556,150.0
49.204103,9.502909,22.0
49.20331,9.4913361,50.0
49.207152,9.480891,300.0
49.204388,9.48832,150.0
49.204584,9.50157,50.0
49.197822,9.506569,22.0
49.203986,9.503376,22.0
49.197109,9.4949624,22.0
49.197111,9.4949624,22.0
49.20347,9.488515,11.0
49.20189,9.50021,50.0
49.200257,9.47635,22.0
49.204254,9.489319,22.0
49.179034,9.409522,22.0
49.185104,9.411068,22.0
49.184932,9.411107,22.0
49.1795618393248,9.40950363160525,22.0
49.1548862,9.5037787,22.0
49.205286,9.640005,50.0
49.205248,9.640193,150.0
49.213192,9.585974,50.0
49.207007,9.639273,350.0
49.205379,9.639696,350.0
49.227135,9.689658,11.0
49.1959728,9.6912482,50.0
49.223429,9.681344,22.0
49.211944,9.732222,22.0
49.225223,9.683681,22.0
49.22507,9.6834699,22.0
49.22711,9.68199,22.0
49.18425,9.625167,22.0
49.2014299682649,9.6722325756112,22.0
49.336376,9.66277,3.0
49.26025,9.685607,22.0
49.2802301,9.69244,22.0
49.301461,9.64681,22.0
49.28853805,9.678902,50.0
49.2889249486523,9.67821478843689,156.0
49.284727,9.68474,22.0
49.255458973993,9.67990529944039,22.0
49.289791,9.563036,22.0
49.28979,9.56304,22.0
49.28766,9.561769,22.0
49.376373,9.8104,22.0
49.375986,9.810384,22.0
49.3409,9.80036,22.0
49.345845,9.794749,22.0
49.287282,9.617273,22.0
49.1742,9.3655,22.0
49.38337,9.69581,22.0
49.383275,9.708368,22.0
49.2458481983591,8.54188559363309,11.0
49.2459343226283,8.5422570341274,11.0
49.2459663872623,8.54227413794715,11.0
49.2459620098094,8.54230096003548,11.0
49.245924363698,8.54227547905157,11.0
49.2459785661681,8.54212923802815,11.0
49.225891,8.517717,22.0
49.242829,8.544855,22.0
49.211909,8.52907,22.0
49.24463,8.49944,22.0
49.26589,8.477972,124.0
49.05318,8.73929,22.0
49.036053,8.703134,22.0
49.0383795690679,8.69013036149773,22.0
49.038656,8.69636,50.0
49.037727,8.687321,300.0
49.0363,8.702,22.0
49.039874,8.690271,50.0
49.04865,8.73241,22.0
49.033996,8.701676,22.0
49.036561,8.704628,22.0
49.031359,8.718637,22.0
49.061652,8.801387,22.0
49.063583,8.797662,22.0
49.062459,8.7975,22.0
49.061302,8.657436,22.0
49.06693,8.657123,22.0
49.10741,8.85033,22.0
49.1015,8.85898,22.0
49.1081,8.85217,22.0
49.095884,8.852289,22.0
49.1075376345099,8.85034561157226,22.0
49.107390139952,8.850334882736,22.0
49.103776,8.811045,22.0
49.10744638,8.81693915,22.0
49.105237,8.817233,22.0
50.9737,11.0224,22.0
49.1122351,8.4725028,22.0
49.071227,8.470776,11.0
49.112831,8.50452,22.0
